Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,112300,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),6,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),20,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),4,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),35,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),350,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",119,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recycling Contamination,87014,Completion frequency-posted routes %,Recycling Contamination
2008,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Bulky Items,33146,Completion frequency-posted routes %,Bulky Items
2008,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,206369,Completion frequency-posted routes %,Recyclables
2008,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,545467,Completion frequency-posted routes %,Yard Trimmings
2008,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,1034429,Completion frequency-posted routes %,Refuse
2008,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Maintain a baseline 99.5% of refuse collected on schedule (%),100,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),0,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),44,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),54,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",200,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),0,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),4981,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),30,Completion frequency-posted routes %,
2008,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),62,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),57804,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,23608,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,19942,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),0,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,114531,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,127700,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),100,Completion frequency-posted routes %,
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,660,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2008,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),87,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2008,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,235000,Completion frequency-posted routes %,EMT fire resources
2008,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,78000,Completion frequency-posted routes %,Paramedic fire resources
2008,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,125000,Completion frequency-posted routes %,EMT ambulances
2008,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,260000,Completion frequency-posted routes %,Paramedic ambulances
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),65,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,30211,Completion frequency-posted routes %,Rescues and others
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,5730,Completion frequency-posted routes %,Hazardous conditions
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),137687,Completion frequency-posted routes %,Fires (includes automatic alarms)
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),94,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,7400,Completion frequency-posted routes %,Non structure fires
2008,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,3800,Completion frequency-posted routes %,Structure fires
2008,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,7240,Completion frequency-posted routes %,
